Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
ELSE,Electro,"Electro-Sensors, Inc. - Common Stock",S,N,N,100
ELTK,Eltek Ltd.,Eltek Ltd. - Ordinary Shares,S,N,N,100
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,WisdomTree Emerging Markets Corporate Bond Fund,G,N,N,100
EMCF,Emclaire Financial Corp,Emclaire Financial Corp - Common Stock,S,N,N,100
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,WisdomTree Emerging Markets Consumer Growth Fund,G,N,N,100
EMCI,EMC Insurance Group Inc.,EMC Insurance Group Inc. - Common Stock,Q,N,N,100
EMDI,iShares MSCI Emerging Markets Consumer Discrectionary Sector Index Fund,iShares MSCI Emerging Markets Consumer Discrectionary Sector Index Fund,G,N,N,100
EMEY,iShares MSCI Emerging Markets Energy Sector Capped Index Fund,iShares MSCI Emerging Markets Energy Sector Capped Index Fund,G,N,N,100
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,iShares S&P Emerging Markets Infrastructure Index Fund,G,N,N,100
EMITF,Elbit Imaging Ltd.,Elbit Imaging Ltd. - Ordinary Shares,Q,N,N,100
EMKR,EMCORE Corporation,EMCORE Corporation - Common Stock,G,N,N,100
EML,Eastern Company (The),Eastern Company (The) - Common Stock,G,N,N,100
EMMS,Emmis Communications Corporation,Emmis Communications Corporation - Class A Common Stock,Q,N,N,100
EMMSP,Emmis Communications Corporation,Emmis Communications Corporation - 6.25% Series A Cumulative Convertible Preferred Stock,Q,N,N,100
ENDP,Endo International plc,Endo International plc - Ordinary Shares,Q,N,N,100
ENFC,Entegra Financial Corp.,Entegra Financial Corp. - Common Stock,G,N,N,100
ENG,ENGlobal Corporation,ENGlobal Corporation - Common Stock,S,N,N,100
ENOC,"EnerNOC, Inc.","EnerNOC, Inc. - Common Stock",Q,N,N,100
ENPH,"Enphase Energy, Inc.","Enphase Energy, Inc. - Common Stock",G,N,N,100
ENSG,"The Ensign Group, Inc.","The Ensign Group, Inc. - Common Stock",Q,N,N,100
ENT,Global Eagle Entertainment Inc.,Global Eagle Entertainment Inc. - Common Stock,S,N,N,100
ENTA,"Enanta Pharmaceuticals, Inc.","Enanta Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
ENTG,"Entegris, Inc.","Entegris, Inc. - Common Stock",Q,N,N,100
ENTR,"Entropic Communications, Inc.","Entropic Communications, Inc. - Common Stock",Q,N,N,100
ENVI,"Envivio, Inc.","Envivio, Inc. - Common Stock",Q,N,N,100
ENZN,"Enzon Pharmaceuticals, Inc.","Enzon Pharmaceuticals, Inc. - Common Stock",S,N,N,100
ENZY,Enzymotec Ltd.,Enzymotec Ltd. - Ordinary Shares,Q,N,N,100
EOPN,"E2open, Inc.","E2open, Inc. - Common Stock",G,N,N,100
EPAX,"Ambassadors Group, Inc.","Ambassadors Group, Inc. - Common Stock",Q,N,N,100
EPAY,"Bottomline Technologies, Inc.","Bottomline Technologies, Inc. - Common Stock",Q,N,N,100
EPIQ,"EPIQ Systems, Inc.","EPIQ Systems, Inc. - Common Stock",Q,N,N,100
EPRS,"EPIRUS Biopharmaceuticals, Inc.","EPIRUS Biopharmaceuticals, Inc. - Common Stock",S,N,N,100
EPZM,"Epizyme, Inc.","Epizyme, Inc. - Common Stock",Q,N,N,100
EQIX,"Equinix, Inc.","Equinix, Inc. - Common Stock",Q,N,N,100
ERI,"Eldorado Resorts, Inc.","Eldorado Resorts, Inc. - Common Stock",Q,N,N,100
ERIC,Ericsson,Ericsson - ADS each representing 1 underlying Class B share,Q,N,N,100
ERIE,Erie Indemnity Company,Erie Indemnity Company - Class A Common Stock,Q,N,N,100
ERII,"Energy Recovery, Inc.","Energy Recovery, Inc. - Common Stock",Q,N,N,100
EROC,"Eagle Rock Energy Partners, L.P.","Eagle Rock Energy Partners, L.P. - Common Units Representing Limited Partner Interests",Q,N,N,100
ERS,"Empire Resources, Inc.","Empire Resources, Inc. - Common Stock",S,N,N,100
ERW,VelocityShares Equal Risk Weighted Large Cap ETF,VelocityShares Equal Risk Weighted Large Cap ETF,G,N,N,100
ESBF,ESB Financial Corporation,ESB Financial Corporation - Common Stock,Q,N,N,100
ESBK,Elmira Savings Bank NY (The),Elmira Savings Bank NY (The) - Common Stock,S,N,N,100
ESCA,"Escalade, Incorporated","Escalade, Incorporated - Common Stock",G,N,N,100
ESCR,Escalera Resources Co.,Escalera Resources Co. - Common Stock,Q,N,N,100
ESCRP,Escalera Resources Co.,Escalera Resources Co. - Series A Cumulative Preferred Stock,Q,N,N,100
ESEA,Euroseas Ltd.,Euroseas Ltd. - Common Stock,Q,N,D,100
ESGR,Enstar Group Limited,Enstar Group Limited - Ordinary Shares,Q,N,N,100
ESIO,"Electro Scientific Industries, Inc.","Electro Scientific Industries, Inc. - Common Stock",Q,N,N,100
ESLT,Elbit Systems Ltd.,Elbit Systems Ltd. - Ordinary Shares,Q,N,N,100
ESMC,Escalon Medical Corp.,Escalon Medical Corp. - Common Stock,S,N,N,100
ESPR,"Esperion Therapeutics, Inc.","Esperion Therapeutics, Inc. - Common Stock",G,N,N,100
ESRX,Express Scripts Holding Company,Express Scripts Holding Company - Common Stock,Q,N,N,100
ESSA,"ESSA Bancorp, Inc.","ESSA Bancorp, Inc. - common stock",Q,N,N,100
ESSX,Essex Rental Corporation,Essex Rental Corporation - Common Stock,S,N,N,100
ESXB,Community Bankers Trust Corporation.,Community Bankers Trust Corporation. - Common Stock,S,N,N,100
ESYS,Elecsys Corporation,Elecsys Corporation - Common Stock,S,N,N,100
ETFC,E*TRADE Financial Corporation,E*TRADE Financial Corporation - Common Stock,Q,N,N,100
ETRM,EnteroMedics Inc.,EnteroMedics Inc. - Common Stock,S,N,N,100
EUFN,iShares MSCI Europe Financials Sector Index Fund,iShares MSCI Europe Financials Sector Index Fund,G,N,N,100
EVAL,iShares MSCI Emerging Markets Value Index Fund,iShares MSCI Emerging Markets Value Index Fund,G,N,N,100
EVAR,"Lombard Medical, Inc.","Lombard Medical, Inc. - Ordinary Shares",G,N,N,100
EVBS,"Eastern Virginia Bankshares, Inc.","Eastern Virginia Bankshares, Inc. - Common Stock",Q,N,N,100
EVEP,"EV Energy Partners, L.P.","EV Energy Partners, L.P. - common units representing limited partnership interest",Q,N,N,100
