Date,Open,High,Low,Close,Adj Close,Volume
2015-10-29,555.000000,557.250000,550.000000,551.775024,531.294189,3351184
2015-10-30,551.000000,556.000000,545.224976,549.799988,529.392395,4048730
2015-11-02,547.525024,547.950012,538.250000,541.549988,521.448669,1578276
2015-11-03,545.474976,546.000000,539.599976,542.450012,522.315247,1274296
2015-11-04,545.025024,549.049988,539.125000,540.849976,520.774719,1348222
2015-11-05,539.250000,541.500000,534.750000,539.924988,519.883972,1798476
2015-11-06,540.349976,544.500000,537.625000,540.450012,520.389526,2940502
2015-11-09,529.000000,534.825012,525.500000,532.400024,512.638306,5714716
2015-11-10,530.025024,532.500000,526.224976,527.299988,507.727631,2201290
2015-11-13,524.700012,527.500000,520.500000,526.025024,506.499939,1970014
2015-11-16,524.375000,532.500000,522.625000,530.474976,510.784698,2367366
2015-11-17,531.650024,531.900024,525.599976,530.400024,510.712524,1283702
2015-11-18,530.849976,532.924988,523.150024,524.299988,504.838989,1223360
2015-11-19,527.500000,535.474976,524.799988,534.450012,514.612244,1638840
2015-11-20,532.450012,540.125000,530.000000,535.424988,515.551025,2324080
2015-11-23,537.000000,537.750000,529.525024,533.025024,513.240112,1704140
2015-11-24,532.625000,536.750000,531.049988,532.174988,512.421692,2001126
2015-11-26,529.500000,533.500000,525.549988,531.974976,512.229065,4395742
2015-11-27,532.424988,541.099976,530.474976,539.700012,519.667297,3462536
2015-11-30,539.599976,540.500000,534.849976,538.875000,518.872986,2623888
2015-12-01,538.525024,542.450012,536.750000,541.500000,521.400513,947666
2015-12-02,545.000000,546.349976,535.924988,538.900024,518.897034,1281142
2015-12-03,536.250000,540.500000,533.650024,538.375000,518.391541,1903856
2015-12-04,536.799988,536.799988,528.000000,529.450012,509.797821,2929914
2015-12-07,534.099976,535.549988,530.549988,530.974976,511.266205,2907404
2015-12-08,530.500000,530.950012,523.500000,524.625000,505.151886,2451330
2015-12-09,523.549988,528.500000,522.424988,523.724976,504.285309,1945308
2015-12-10,522.500000,531.599976,521.150024,530.299988,510.616272,3257170
2015-12-11,530.000000,530.299988,521.000000,523.174988,503.755707,1516960
2015-12-14,520.500000,529.924988,520.049988,527.525024,507.944275,2939008
2015-12-15,526.500000,531.224976,522.650024,529.724976,510.062531,2278708
2015-12-16,531.500000,536.674988,529.674988,533.650024,513.841919,3421384
2015-12-17,536.950012,542.000000,532.500000,540.125000,520.076538,2439006
2015-12-18,542.500000,542.500000,534.250000,536.500000,516.586121,1586064
2015-12-21,535.875000,539.950012,534.525024,537.700012,517.741577,1548750
2015-12-22,537.250000,538.250000,532.000000,533.224976,513.432617,1214768
2015-12-23,536.299988,538.974976,534.575012,537.049988,517.115723,1506984
2015-12-24,538.099976,538.200012,534.150024,537.000000,517.067627,1073176
2015-12-28,537.000000,539.950012,533.875000,538.625000,518.632263,3877714
2015-12-29,539.474976,539.924988,535.650024,538.974976,518.969238,2115806
2015-12-30,540.000000,540.974976,536.275024,537.150024,517.211975,1056280
2015-12-31,537.500000,542.450012,537.500000,541.075012,520.991272,4645004
2016-01-01,541.200012,545.125000,538.075012,544.375000,524.168823,1597538
2016-01-04,542.000000,542.000000,534.049988,535.250000,515.382507,2593768
2016-01-05,535.099976,537.400024,530.674988,531.200012,511.482819,1580436
2016-01-06,528.325012,538.375000,528.325012,533.549988,513.745667,2082768
2016-01-07,530.049988,532.450012,524.849976,528.099976,508.497864,3027714
2016-01-08,530.974976,532.250000,528.625000,531.174988,511.458832,1744178
2016-01-11,526.025024,530.500000,522.650024,529.299988,509.653381,1644456
2016-01-12,531.950012,531.950012,521.750000,523.474976,504.044525,2129368
2016-01-13,526.000000,531.375000,518.500000,530.075012,510.399628,2257574
2016-01-14,525.075012,528.700012,519.750000,524.875000,505.392670,3139592
2016-01-15,524.000000,527.724976,519.049988,521.075012,501.733704,2708630
2016-01-18,517.825012,520.724976,510.500000,512.924988,493.886169,3247694
